date,currency_code,name,local_price,dollar_ex
2006-01-01,CAD,Canada,3.52,1.1704
2006-01-01,CHF,Switzerland,6.3,1.2776
2006-01-01,CLP,Chile,1560.0,522.75
2006-01-01,CNY,China,10.5,8.0641
2006-01-01,CZK,Czech Republic,62.0,23.8375
2006-01-01,DKK,Denmark,27.75,6.1769
2006-01-01,EGP,Egypt,9.25,5.74
2006-01-01,EUR,Euro area,2.91,0.82815735
2006-01-01,GBP,Britain,1.88,0.566925563
2006-01-01,HKD,Hong Kong,12.0,7.7512
2006-01-01,HUF,Hungary,560.0,206.956
2006-01-01,IDR,Indonesia,14600.0,9460.0
2006-01-01,JPY,Japan,250.0,114.305
2006-01-01,KRW,South Korea,2500.0,977.45
2006-01-01,MXN,Mexico,28.0,10.5425
2006-01-01,MYR,Malaysia,5.5,3.7488
2006-01-01,NZD,New Zealand,4.45,1.4467
2006-01-01,PEN,Peru,9.5,3.446
2006-01-01,PHP,Philippines,82.0,52.58
2006-01-01,PLN,Poland,6.5,3.1151
2006-01-01,RUB,Russia,46.0,28.67
2006-01-01,SGD,Singapore,3.6,1.6353
2006-01-01,SEK,Sweden,33.0,7.7119
2006-01-01,THB,Thailand,60.0,39.755
2006-01-01,TRY,Turkey,4.1,1.3365
2006-01-01,TWD,Taiwan,75.0,31.9495
2006-01-01,USD,United States,3.15,1.0
2006-01-01,ZAR,South Africa,13.95,6.0803
2006-05-01,AED,UAE,9.0,3.6726
2006-05-01,ARS,Argentina,7.0,3.0565
2006-05-01,AUD,Australia,3.25,1.33253
2006-05-01,BRL,Brazil,6.4,2.3045
2006-05-01,CAD,Canada,3.52,1.12045
2006-05-01,CHF,Switzerland,6.3,1.20885
2006-05-01,CLP,Chile,1560.0,529.95
2006-05-01,CNY,China,10.5,8.026
2006-05-01,COP,Colombia,6500.0,2503.6
2006-05-01,CRC,Costa Rica,1130.0,509.535
2006-05-01,CZK,Czech Republic,59.05,22.1078
2006-05-01,DKK,Denmark,27.75,5.81825
2006-05-01,EGP,Egypt,9.5,5.77075
2006-05-01,EUR,Euro area,2.9395735289999996,0.780365992
2006-05-01,GBP,Britain,1.94,0.531801744
2006-05-01,HKD,Hong Kong,12.0,7.7533
2006-05-01,HUF,Hungary,560.0,206.3444
2006-05-01,IDR,Indonesia,14600.0,9325.0
2006-05-01,JPY,Japan,250.0,112.105
2006-05-01,KRW,South Korea,2500.0,952.4
2006-05-01,LKR,Sri Lanka,190.0,102.955
2006-05-01,MXN,Mexico,29.0,11.3031
2006-05-01,MYR,Malaysia,5.5,3.6295
2006-05-01,NOK,Norway,43.0,6.1023
2006-05-01,NZD,New Zealand,4.45,1.62101
2006-05-01,PKR,Pakistan,130.0,60.055
2006-05-01,PEN,Peru,9.5,3.261
2006-05-01,PHP,Philippines,85.0,52.625
2006-05-01,PLN,Poland,6.5,3.09915
2006-05-01,RUB,Russia,48.0,27.06375
2006-05-01,SAR,Saudi Arabia,9.0,3.7489999999999997
2006-05-01,SGD,Singapore,3.6,1.5873
2006-05-01,SEK,Sweden,33.0,7.28455
2006-05-01,THB,Thailand,60.0,38.445
2006-05-01,TRY,Turkey,4.2,1.5415
2006-05-01,TWD,Taiwan,75.0,32.141
2006-05-01,UAH,Ukraine,8.5,5.05
2006-05-01,UYU,Uruguay,42.28,23.925
2006-05-01,USD,United States,3.1,1.0
2006-05-01,ZAR,South Africa,13.95,6.597
2007-01-01,AED,UAE,10.0,3.6726
2007-01-01,ARS,Argentina,8.25,3.08875
2007-01-01,AUD,Australia,3.45,1.266865
2007-01-01,BRL,Brazil,6.4,2.1335
2007-01-01,CAD,Canada,3.63,1.17485
2007-01-01,CHF,Switzerland,6.3,1.2485
2007-01-01,CLP,Chile,1670.0,540.15
2007-01-01,CNY,China,11.0,7.7743
2007-01-01,COP,Colombia,6900.0,2239.325
2007-01-01,CRC,Costa Rica,1130.0,509.535
2007-01-01,CZK,Czech Republic,52.1,21.50115
2007-01-01,DKK,Denmark,27.75,5.75305
2007-01-01,EGP,Egypt,9.09,5.7
2007-01-01,EUR,Euro area,2.94,0.771813376
2007-01-01,GBP,Britain,1.94,0.506034461
2007-01-01,HKD,Hong Kong,12.0,7.79845
2007-01-01,HUF,Hungary,590.0,194.4237
2007-01-01,IDR,Indonesia,15900.0,9090.0
2007-01-01,JPY,Japan,280.0,121.585
2007-01-01,KRW,South Korea,2900.0,940.15
2007-01-01,LKR,Sri Lanka,190.0,102.955
2007-01-01,MXN,Mexico,29.0,10.8894
2007-01-01,MYR,Malaysia,5.5,3.502
2007-01-01,NOK,Norway,41.5,6.1023
2007-01-01,NZD,New Zealand,4.6,1.4279600000000001
2007-01-01,PKR,Pakistan,140.0,60.055
2007-01-01,PEN,Peru,9.5,3.1895
2007-01-01,PHP,Philippines,85.0,49.05
2007-01-01,PLN,Poland,6.9,2.97175
2007-01-01,RUB,Russia,49.0,26.5335
2007-01-01,SAR,Saudi Arabia,9.0,3.7489999999999997
2007-01-01,SGD,Singapore,3.6,1.53795
2007-01-01,SEK,Sweden,32.0,7.04125
2007-01-01,THB,Thailand,62.0,35.3
2007-01-01,TRY,Turkey,4.55,1.40975
